,Date,Open
20044,2007-10-29,1536.920044
20049,2007-11-05,1505.609985
20054,2007-11-12,1453.660034
20059,2007-11-19,1456.699951
20063,2007-11-26,1440.73999
20068,2007-12-03,1479.630005
20073,2007-12-10,1505.109985
20078,2007-12-17,1465.050049
20083,2007-12-24,1484.550049
20087,2007-12-31,1475.25
20091,2008-01-07,1414.069946
20096,2008-01-14,1402.910034
20105,2008-01-28,1330.699951
20110,2008-02-04,1395.380005
20115,2008-02-11,1331.920044
20124,2008-02-25,1352.75
20129,2008-03-03,1330.449951
20134,2008-03-10,1293.160034
20139,2008-03-17,1283.209961
20143,2008-03-24,1330.290039
20148,2008-03-31,1315.920044
20153,2008-04-07,1373.689941
20158,2008-04-14,1332.199951
20163,2008-04-21,1387.719971
20168,2008-04-28,1397.959961
20173,2008-05-05,1415.339966
20178,2008-05-12,1389.400024
20183,2008-05-19,1425.280029
20192,2008-06-02,1399.619995
20197,2008-06-09,1360.829956
20202,2008-06-16,1358.849976
20207,2008-06-23,1319.77002
20212,2008-06-30,1278.060059
20216,2008-07-07,1262.900024
20221,2008-07-14,1241.609985
20226,2008-07-21,1261.819946
20231,2008-07-28,1257.76001
20236,2008-08-04,1253.27002
20241,2008-08-11,1294.420044
20246,2008-08-18,1298.140015
20251,2008-08-25,1290.469971
20260,2008-09-08,1249.5
20265,2008-09-15,1250.920044
20270,2008-09-22,1255.369995
20275,2008-09-29,1209.069946
20280,2008-10-06,1097.560059
20285,2008-10-13,912.75
20290,2008-10-20,943.51001
20295,2008-10-27,874.280029
20300,2008-11-03,968.669983
20305,2008-11-10,936.75
20310,2008-11-17,873.22998
20315,2008-11-24,801.200012
20319,2008-12-01,888.609985
20324,2008-12-08,882.710022
20329,2008-12-15,881.070007
20334,2008-12-22,887.200012
20338,2008-12-29,872.369995
20342,2009-01-05,929.169983
20347,2009-01-12,890.400024
20356,2009-01-26,832.5
20361,2009-02-02,823.090027
20366,2009-02-09,868.23999
20375,2009-02-23,773.25
20380,2009-03-02,729.570007
20385,2009-03-09,680.76001
20390,2009-03-16,758.840027
20395,2009-03-23,772.309998
20400,2009-03-30,809.070007
20405,2009-04-06,839.75
20409,2009-04-13,855.330017
20414,2009-04-20,868.27002
20419,2009-04-27,862.820007
20424,2009-05-04,879.210022
20429,2009-05-11,922.98999
20434,2009-05-18,886.070007
20443,2009-06-01,923.26001
20448,2009-06-08,938.119995
20453,2009-06-15,942.450012
20458,2009-06-22,918.130005
20463,2009-06-29,919.859985
20467,2009-07-06,894.27002
20472,2009-07-13,879.570007
20477,2009-07-20,942.070007
20482,2009-07-27,978.630005
20487,2009-08-03,990.219971
20492,2009-08-10,1008.890015
20497,2009-08-17,998.179993
20502,2009-08-24,1026.589966
20507,2009-08-31,1025.209961
20516,2009-09-14,1040.150024
20521,2009-09-21,1067.140015
20526,2009-09-28,1045.380005
20531,2009-10-05,1026.869995
20536,2009-10-12,1071.630005
20541,2009-10-19,1088.219971
20546,2009-10-26,1080.359985
20551,2009-11-02,1036.180054
20556,2009-11-09,1072.310059
20561,2009-11-16,1094.130005
20566,2009-11-23,1094.859985
20570,2009-11-30,1091.069946
20575,2009-12-07,1105.52002
20580,2009-12-14,1107.839966
20585,2009-12-21,1105.310059
20589,2009-12-28,1127.530029
20593,2010-01-04,1116.560059
20598,2010-01-11,1145.959961
20607,2010-01-25,1092.400024
20612,2010-02-01,1073.890015
20617,2010-02-08,1065.51001
20626,2010-02-22,1110.0
20631,2010-03-01,1105.359985
20636,2010-03-08,1138.400024
20641,2010-03-15,1148.530029
20646,2010-03-22,1157.25
20651,2010-03-29,1167.709961
20655,2010-04-05,1178.709961
20660,2010-04-12,1194.939941
20665,2010-04-19,1192.060059
20670,2010-04-26,1217.069946
20675,2010-05-03,1188.579956
20680,2010-05-10,1122.27002
20685,2010-05-17,1136.52002
20690,2010-05-24,1084.780029
20699,2010-06-07,1065.839966
20704,2010-06-14,1095.0
20709,2010-06-21,1122.790039
20714,2010-06-28,1077.5
20723,2010-07-12,1077.22998
20728,2010-07-19,1066.849976
20733,2010-07-26,1102.890015
20738,2010-08-02,1107.530029
20743,2010-08-09,1122.800049
20748,2010-08-16,1077.48999
20753,2010-08-23,1073.359985
20758,2010-08-30,1062.900024
20767,2010-09-13,1113.380005
20772,2010-09-20,1126.569946
20777,2010-09-27,1148.640015
20782,2010-10-04,1144.959961
20787,2010-10-11,1165.319946
20792,2010-10-18,1176.829956
20797,2010-10-25,1184.73999
20802,2010-11-01,1185.709961
20807,2010-11-08,1223.23999
20812,2010-11-15,1200.439941
20817,2010-11-22,1198.069946
20821,2010-11-29,1189.079956
20826,2010-12-06,1223.869995
20831,2010-12-13,1242.52002
20836,2010-12-20,1245.76001
20840,2010-12-27,1254.660034
20845,2011-01-03,1257.619995
20850,2011-01-10,1270.839966
20859,2011-01-24,1283.290039
